ts,pmaxo,pmaxc
0.742,126018.00908517648,118956.94325845742,
0.744,122691.34131306723,112943.81203981729,
0.746,126853.1219662549,118838.97050159881,
0.748,134927.5796474165,144011.36378669465,
0.75,143898.7510900854,171900.87453119046,
0.752,147939.66871302074,194991.9391594068,
0.754,145056.1057565587,191880.05456041722,
0.756,131175.9714657001,183658.73523324582,
0.758,107008.45462628703,179845.55373854536,
0.76,82821.21338653394,147189.38951857114,
0.762,67627.75297007617,132791.7120295418,
0.764,61853.687157271874,112461.47371531343,
0.766,60896.35985563968,107339.9604616133,
0.768,67719.05530220551,101451.09021460137,
0.77,84060.69344118568,87856.54767376246,
0.772,109934.41855032978,73711.29557817406,
0.774,139796.46584164392,67523.22069768439,
0.776,147651.1585464906,65330.764482845836,
0.778,121519.06273297554,75617.92891977125,
0.78,92948.6693500195,87755.74779244237,
0.782,78362.76417160354,98113.71103116579,
0.784,73970.06906918976,109406.09859210055,
0.786,91908.14622327416,120661.56462626277,
0.788,94654.90831856911,219468.4759189022,
0.79,117243.83635890872,229604.2715622586,
0.792,154846.1311466385,200300.2374928031,
0.794,185384.0394248038,161841.75653839312,
0.796,169919.6455387235,133213.60486232414,
0.798,128629.41479356833,121892.12197261075,
0.8,122916.84592525597,118935.14404440063,
0.802,112190.22084663704,109964.17599598123,
0.804,95798.7706573442,106337.35840212052,
0.806,87273.7564363402,98596.2053383153,
0.808,92402.19232135582,112796.01201685103,
0.81,103089.77809376743,108687.49583117837,
0.812,114559.54813428562,120230.80891108805,
0.8140000000000001,112379.83391069771,126030.51492283907,
0.8160000000000001,104786.77783081272,135769.82227609187,
0.8180000000000001,90582.08352148625,147438.85610846247,
0.8200000000000001,92127.32094881256,159299.35494538836,
0.8220000000000001,106601.09279180047,145790.9971734237,
0.8240000000000001,142042.907227157,114385.49201154232,
0.8260000000000001,160977.00766222063,96363.4667305284,
0.8280000000000001,152302.64579004547,92019.95406023179,
0.8300000000000001,142095.2743079991,115512.07939612475,
0.8320000000000001,130131.3764362874,96144.49551718001,
0.834,116506.4158454967,117854.21366299318,
0.836,105697.7639691199,128238.1006536613,
0.838,105381.21209644455,142514.9247806285,
0.84,109139.48227718043,152745.38865042024,
0.842,112156.67686185616,142158.78779196006,
0.844,108042.93682702587,109814.9804106649,
0.846,94015.10039186165,86161.3143529181,
0.848,80162.97272144895,76073.84325202442,
0.85,74945.24119971039,67313.97741376869,
0.852,70556.1394358831,71107.81586507476,
0.854,74722.7488594027,74393.7440037258,
0.856,75756.91816571867,83378.08566995706,
0.858,88646.79860780048,107363.44194145662,
0.86,109297.51780602941,142680.8193186551,
0.862,137909.92088906514,157087.36011274994,
0.864,166772.1750148805,156444.58204845496,
0.866,176134.21638557778,133342.0384132596,
0.868,158484.94819317336,126313.54343498866,
0.87,133383.69630955238,113716.36976933466,
0.872,116795.45008135564,105866.20291579123,
0.874,109024.76461102684,109541.71680407171,
0.876,110607.90846758554,103467.90618300864,
0.878,122275.41746154118,90454.98244074278,
0.88,119520.611384029,87153.71351348463,
0.882,123747.9775650951,90232.6540298535,
0.884,134729.73082958965,81880.11997598458,
0.886,138794.24383688116,82918.68718115549,
0.888,128758.12061555796,80860.82429174252,
0.89,128636.95224112808,87626.8494837908,
0.892,139620.26015566298,94186.37365555215,
0.894,151147.74319513445,107396.16377277511,
0.896,144940.30841325186,119517.11439417212,
0.898,121178.94574678865,128334.58289371217,
0.9,95634.9694029263,118298.87544294838,
0.902,76862.67161248683,105756.22860007093,
0.904,64448.89396136797,109743.38068881155,
0.906,56711.67040539845,115149.88762111025,
0.908,52238.89870628855,113979.41640648295,
0.91,51536.731891252566,121594.83801312261,
0.912,53732.06201521786,140659.24156216366,
0.914,58636.39145822246,112698.65517501057,
0.916,66219.23290822626,114525.32965907082,
0.918,74112.64207568864,89471.86326046102,
0.92,81486.89628899282,84352.51508172869,
0.922,89996.93677662857,75137.86919394086,
0.924,96728.38290882223,69055.40283509986,
0.926,102109.11512039811,76771.0438231331,
0.928,108881.6470517238,89774.26682352145,
0.93,117085.5176976223,68144.44404111705,
0.932,128455.2551914935,56294.99548199053,
0.934,141691.80218079864,102761.2720066172,
0.936,140802.91509204442,84885.90881923339,
0.9380000000000001,133861.88882692732,98971.72871071075,
0.9400000000000001,124422.41306091586,99486.2763379125,
0.9420000000000001,115494.1617531211,112081.33479931683,
0.9440000000000001,109745.13736420714,117029.49597839144,
0.9460000000000001,109966.98530295787,116398.45370250661,
0.9480000000000001,117170.17084940062,108171.55319959551,
0.9500000000000001,129558.62469455902,115430.68311611774,
0.9520000000000001,139046.71912228363,132745.47337592498,
0.9540000000000001,135147.4885184347,142511.9555029507,
0.9560000000000001,121363.36155642595,156461.07289264107,
0.9580000000000001,106764.02601334955,180632.5252852135,
0.96,98384.97636977899,192648.5423739355,
0.962,95998.21866206637,177905.00162875498,
0.964,97662.96446500551,139305.85267580446,
0.966,102603.24322067315,104334.83191843588,
0.968,109657.38522645306,85720.1670635351,
0.97,114605.53186856747,90689.99983739469,
0.972,115343.24939327723,145680.36757558462,
0.974,106638.49682476862,117718.60446725793,
0.976,95863.82249555037,107200.9609940128,
0.978,90101.24765376883,103197.94124156245,
0.98,90368.0088247773,167808.89225786395,
0.982,95774.86742671602,132291.04366724042,
0.984,104332.31073028091,137613.3814292637,
0.986,113519.07174645142,135044.94053037048,
0.988,119401.75538236642,133791.51883618752,
0.99,122035.08202088147,151477.9908224961,
0.992,121759.47548747252,149431.08922697196,
0.994,116609.53187526873,155044.11903697895,
0.996,115432.30043314894,156654.56027858699,
0.998,123738.19457547646,159337.95663007558,
1.0,136155.6930187493,141363.92685198758,
1.002,143412.96746420406,121306.40204497281,
